#{"t_start": 1732834778.5374675, "env_id": "None"}
r,l,t
-40.0,16,2.075979
-84.0,5,2.077786
-96.0,2,2.079647
-96.0,2,2.081474
-96.0,2,2.083306
-16.0,22,2.086899
-92.0,3,2.086922
-96.0,2,2.08694
-96.0,2,2.090349
-92.0,3,2.092259
-40.0,16,2.092282
-88.0,4,2.094054
-96.0,2,2.095963
-96.0,2,2.095986
-56.0,12,2.097769
-92.0,3,2.099649
-96.0,2,2.099672
-80.0,6,2.101471
-92.0,3,2.105108
-88.0,4,2.105135
-84.0,5,2.110312
-92.0,3,2.110335
-48.0,14,2.120112
-44.0,15,2.125356
-88.0,4,2.127281
-64.0,10,2.127304
-92.0,3,2.130768
-92.0,3,2.13268
-40.0,16,2.132702
-48.0,14,2.134494
-80.0,6,2.138116
-88.0,4,2.138139
-88.0,4,2.139997
72.0,44,2.141827
-92.0,3,2.143591
-76.0,7,2.145407
-76.0,7,2.147172
-84.0,5,2.150611
-72.0,8,2.1525
-92.0,3,2.152523
-80.0,6,2.157738
-92.0,3,2.159597
-64.0,10,2.163262
-56.0,12,2.16329
-92.0,3,2.163308
-80.0,6,2.165079
-96.0,2,2.166874
-68.0,9,2.168668
-96.0,2,2.17051
-88.0,4,2.172312
-88.0,4,2.175963
-76.0,7,2.175986
-92.0,3,2.176004
-72.0,8,2.177875
-92.0,3,2.177898
-96.0,2,2.179754
-92.0,3,2.184949
-88.0,4,2.184972
-80.0,6,2.186768
-96.0,2,2.188653
-96.0,2,2.188676
-68.0,9,2.193623
-88.0,4,2.1954
-96.0,2,2.197368
-20.0,21,2.197391
-84.0,5,2.197409
-96.0,2,2.199193
-72.0,8,2.200972
-96.0,2,2.202765
-88.0,4,2.204748
-96.0,2,2.206601
-80.0,6,2.208547
-88.0,4,2.208571
-96.0,2,2.210377
-88.0,4,2.212291
-72.0,8,2.212314
-92.0,3,2.214336
-20.0,21,2.214358
-96.0,2,2.214376
-88.0,4,2.216155
-88.0,4,2.219526
-88.0,4,2.221305
-96.0,2,2.223101
-84.0,5,2.224992
-76.0,7,2.225014
-84.0,5,2.230108
-68.0,9,2.230131
-84.0,5,2.233752
-96.0,2,2.233774
-60.0,11,2.233793
-96.0,2,2.237167
-68.0,9,2.238953
-68.0,9,2.240724
-84.0,5,2.242512
-96.0,2,2.244293
-88.0,4,2.246043
-80.0,6,2.247932
-64.0,10,2.247955
-88.0,4,2.249757
-60.0,11,2.253219
-88.0,4,2.25519
-96.0,2,2.257203
-84.0,5,2.257227
-88.0,4,2.257245
-68.0,9,2.262288
-84.0,5,2.267271
-80.0,6,2.269178
-88.0,4,2.269201
-76.0,7,2.270985
-92.0,3,2.272826
-64.0,10,2.274742
-96.0,2,2.274765
-88.0,4,2.276552
-96.0,2,2.280374
-80.0,6,2.280397
-88.0,4,2.280415
-96.0,2,2.284114
-84.0,5,2.284137
-24.0,20,2.284155
-76.0,7,2.287629
-96.0,2,2.287652
-84.0,5,2.292616
-72.0,8,2.294405
-76.0,7,2.296191
-64.0,10,2.297954
-92.0,3,2.301363
-80.0,6,2.303138
-64.0,10,2.305027
-84.0,5,2.306986
-92.0,3,2.30701
-92.0,3,2.308846
-92.0,3,2.310622
-64.0,10,2.312632
-96.0,2,2.312655
-84.0,5,2.316088
-80.0,6,2.318007
-88.0,4,2.31806
-88.0,4,2.319857
-96.0,2,2.321653
-24.0,20,2.323582
-88.0,4,2.323605
-92.0,3,2.325373
-96.0,2,2.327144
-76.0,7,2.330715
-96.0,2,2.330739
-92.0,3,2.330756
-56.0,12,2.334126
-92.0,3,2.336003
-92.0,3,2.336026
-92.0,3,2.339632
-64.0,10,2.339655
-84.0,5,2.339673
-64.0,10,2.341455
-96.0,2,2.34493
-92.0,3,2.344953
-88.0,4,2.346748
-84.0,5,2.348632
-76.0,7,2.348655
-96.0,2,2.35054
-92.0,3,2.350563
-88.0,4,2.352356
-64.0,10,2.35424
-96.0,2,2.354263
-84.0,5,2.357654
-88.0,4,2.363314
-80.0,6,2.363337
-92.0,3,2.365575
-96.0,2,2.369629
-76.0,7,2.373905
-64.0,10,2.373931
-96.0,2,2.378371
-88.0,4,2.378402
-96.0,2,2.386662
-84.0,5,2.386688
-56.0,12,2.390869
-84.0,5,2.394599
-84.0,5,2.39505
-92.0,3,2.39872
-96.0,2,2.406205
-84.0,5,2.410471
-84.0,5,2.41462
-68.0,9,2.414645
-92.0,3,2.417505
-72.0,8,2.41753
-92.0,3,2.421135
-72.0,8,2.421158
-88.0,4,2.422936
-88.0,4,2.424721
-92.0,3,2.426642
-92.0,3,2.426665
-88.0,4,2.43017
-96.0,2,2.430192
-72.0,8,2.432068
-88.0,4,2.43209
-92.0,3,2.435736
-96.0,2,2.435758
-84.0,5,2.43577
-96.0,2,2.439271
-84.0,5,2.439293
-92.0,3,2.4412
-44.0,15,2.441223
-80.0,6,2.443089
-96.0,2,2.44311
-96.0,2,2.444894
-96.0,2,2.446786
-80.0,6,2.446808
-92.0,3,2.448584
-88.0,4,2.451986
-88.0,4,2.453763
-84.0,5,2.455686
-68.0,9,2.455709
-84.0,5,2.460711
-56.0,12,2.464334
-84.0,5,2.464358
-96.0,2,2.466264
-68.0,9,2.466285
-96.0,2,2.468056
-76.0,7,2.469848
-92.0,3,2.471647
-88.0,4,2.47519
-84.0,5,2.475213
-76.0,7,2.47708
-56.0,12,2.479079
-84.0,5,2.480984
-92.0,3,2.481007
-84.0,5,2.484465
-84.0,5,2.487743
-92.0,3,2.491499
-84.0,5,2.491523
-80.0,6,2.493299
-96.0,2,2.495208
-52.0,13,2.49523
-68.0,9,2.496996
-92.0,3,2.498776
-92.0,3,2.500583
-92.0,3,2.502489
-88.0,4,2.502512
-92.0,3,2.507719
-64.0,10,2.509627
-80.0,6,2.50965
-96.0,2,2.511384
-76.0,7,2.513177
-44.0,15,2.514906
-96.0,2,2.516797
-88.0,4,2.516819
-84.0,5,2.518543
-64.0,10,2.520306
-92.0,3,2.522116
-76.0,7,2.523874
-92.0,3,2.528768
-80.0,6,2.530725
-68.0,9,2.530747
-84.0,5,2.530759
-96.0,2,2.532535
-96.0,2,2.534262
-64.0,10,2.535985
-80.0,6,2.544001
-36.0,17,2.545842
-72.0,8,2.545864
-60.0,11,2.549464
-96.0,2,2.549485
-60.0,11,2.549497
-84.0,5,2.55285
-92.0,3,2.554706
-60.0,11,2.554728
-84.0,5,2.558036
-92.0,3,2.55978
-76.0,7,2.566585
-88.0,4,2.56661
-68.0,9,2.566621
-60.0,11,2.574842
-84.0,5,2.574865
-72.0,8,2.574876
-92.0,3,2.579981
-28.0,19,2.580006
-88.0,4,2.581758
-60.0,11,2.585139
-56.0,12,2.586848
-88.0,4,2.593267
-56.0,12,2.59508
-72.0,8,2.595102
-76.0,7,2.596844
-96.0,2,2.598584
-88.0,4,2.600332
-48.0,14,2.603653
-96.0,2,2.60726
-76.0,7,2.609054
-76.0,7,2.610784
-96.0,2,2.614124
-20.0,21,2.61586
-80.0,6,2.617712
-84.0,5,2.617733
-92.0,3,2.621161
-96.0,2,2.621183
-88.0,4,2.628178
-80.0,6,2.628206
-40.0,16,2.628235
-24.0,20,2.629986
-96.0,2,2.631687
-96.0,2,2.633403
-92.0,3,2.637087
-68.0,9,2.637109
-52.0,13,2.63712
-96.0,2,2.63713
-96.0,2,2.640439
-68.0,9,2.643752
-84.0,5,2.645493
-60.0,11,2.647334
-88.0,4,2.647356
-96.0,2,2.649137
-72.0,8,2.65085
-68.0,9,2.652621
-88.0,4,2.654577
-88.0,4,2.654598
-96.0,2,2.65461
-96.0,2,2.656452
-76.0,7,2.656474
-84.0,5,2.658195
-92.0,3,2.659934
-96.0,2,2.661657
-92.0,3,2.665061
-96.0,2,2.665087
-80.0,6,2.66681
-96.0,2,2.670423
-96.0,2,2.670446
-76.0,7,2.670458
-92.0,3,2.673981
-96.0,2,2.674003
-64.0,10,2.674015
-60.0,11,2.675751
-96.0,2,2.677473
-84.0,5,2.679329
-92.0,3,2.679354
-96.0,2,2.681379
-96.0,2,2.68342
-96.0,2,2.683441
-76.0,7,2.683453
-84.0,5,2.685176
-92.0,3,2.686905
-80.0,6,2.693339
-84.0,5,2.695056
-96.0,2,2.696999
-72.0,8,2.69702
-52.0,13,2.697032
-64.0,10,2.700335
-92.0,3,2.702092
-88.0,4,2.703936
-88.0,4,2.703958
-52.0,13,2.707461
-92.0,3,2.709239
-72.0,8,2.714138
-72.0,8,2.717706
-80.0,6,2.717727
-68.0,9,2.717739
-84.0,5,2.722705
-84.0,5,2.726043
-28.0,19,2.727755
-72.0,8,2.731114
-48.0,14,2.732853
-72.0,8,2.739367
-60.0,11,2.7413
-48.0,14,2.741321
-84.0,5,2.741333
-92.0,3,2.746531
-60.0,11,2.746552
-92.0,3,2.746576
-64.0,10,2.748304
-84.0,5,2.750206
-96.0,2,2.750228
-88.0,4,2.753619
-84.0,5,2.755524
-92.0,3,2.755548
-88.0,4,2.7573
-96.0,2,2.759202
-60.0,11,2.759223
-88.0,4,2.760977
-92.0,3,2.764563
-96.0,2,2.764585
-68.0,9,2.764596
-96.0,2,2.768047
-80.0,6,2.768069
-92.0,3,2.771562
-72.0,8,2.771586
-96.0,2,2.774899
-64.0,10,2.77841
