#{"t_start": 1732828023.837874, "env_id": "None"}
r,l,t
12.0,29,2.660158
-84.0,5,2.66207
-72.0,8,2.662093
-92.0,3,2.667345
-92.0,3,2.669353
-92.0,3,2.669379
-32.0,18,2.671273
-40.0,16,2.671295
-72.0,8,2.673093
-88.0,4,2.676582
-88.0,4,2.676603
-96.0,2,2.68064
-80.0,6,2.682588
-80.0,6,2.682609
-96.0,2,2.684587
-68.0,9,2.684609
-88.0,4,2.68462
-96.0,2,2.686411
-92.0,3,2.688181
-68.0,9,2.689969
-96.0,2,2.691847
-88.0,4,2.691868
-80.0,6,2.695225
-92.0,3,2.696998
-84.0,5,2.698878
-76.0,7,2.698899
-80.0,6,2.702243
-88.0,4,2.705562
-80.0,6,2.707426
-76.0,7,2.707447
-68.0,9,2.714017
-84.0,5,2.715773
-28.0,19,2.717527
-64.0,10,2.719282
-68.0,9,2.721042
-88.0,4,2.722824
-96.0,2,2.726174
-80.0,6,2.72804
-84.0,5,2.728061
-92.0,3,2.733008
-84.0,5,2.734764
-68.0,9,2.736502
-68.0,9,2.74302
-32.0,18,2.744781
-96.0,2,2.74654
-92.0,3,2.750081
-68.0,9,2.750105
0.0,26,2.751873
-56.0,12,2.754057
-96.0,2,2.754078
-96.0,2,2.75409
-88.0,4,2.754099
-88.0,4,2.760746
-48.0,14,2.760768
-76.0,7,2.765742
-68.0,9,2.769439
-72.0,8,2.769466
-80.0,6,2.772875
-88.0,4,2.774627
-72.0,8,2.776662
-56.0,12,2.776683
-96.0,2,2.776695
-84.0,5,2.778433
-92.0,3,2.780608
-76.0,7,2.782515
-92.0,3,2.782547
-88.0,4,2.784279
-92.0,3,2.78768
-92.0,3,2.789462
-72.0,8,2.791212
-64.0,10,2.796328
-88.0,4,2.79635
-76.0,7,2.799752
-88.0,4,2.803101
-40.0,16,2.808139
-92.0,3,2.80816
-56.0,12,2.811787
-68.0,9,2.811808
-96.0,2,2.811821
-72.0,8,2.813577
-96.0,2,2.815443
-96.0,2,2.815464
-88.0,4,2.818933
-92.0,3,2.818954
-92.0,3,2.820984
